"","rcid","short_name","issue"
"96",1539,"me","Palestinian conflict"
"97",1541,"me","Palestinian conflict"
"98",1547,"me","Palestinian conflict"
"99",1578,"me","Palestinian conflict"
"100",1582,"me","Palestinian conflict"
"101",1583,"me","Palestinian conflict"
"102",1585,"me","Palestinian conflict"
"103",1612,"me","Palestinian conflict"
"104",1613,"me","Palestinian conflict"
"105",1614,"me","Palestinian conflict"
"106",1615,"me","Palestinian conflict"
"107",1616,"me","Palestinian conflict"
"108",1617,"me","Palestinian conflict"
"109",1655,"me","Palestinian conflict"
"110",1663,"me","Palestinian conflict"
"111",1666,"me","Palestinian conflict"
"112",1687,"me","Palestinian conflict"
"113",1688,"me","Palestinian conflict"
"114",1689,"me","Palestinian conflict"
"115",1690,"me","Palestinian conflict"
"116",1691,"me","Palestinian conflict"
"117",1692,"me","Palestinian conflict"
"118",1694,"me","Palestinian conflict"
"119",1701,"me","Palestinian conflict"
"120",1702,"me","Palestinian conflict"
"121",1741,"me","Palestinian conflict"
"122",1750,"me","Palestinian conflict"
"123",1751,"me","Palestinian conflict"
"124",1752,"me","Palestinian conflict"
"125",1756,"me","Palestinian conflict"
"126",1786,"me","Palestinian conflict"
"127",1787,"me","Palestinian conflict"
"128",1788,"me","Palestinian conflict"
"129",1789,"me","Palestinian conflict"
"130",1790,"me","Palestinian conflict"
"131",1791,"me","Palestinian conflict"
"132",1795,"me","Palestinian conflict"
"133",1797,"me","Palestinian conflict"
"134",1841,"me","Palestinian conflict"
"135",1842,"me","Palestinian conflict"
"136",1843,"me","Palestinian conflict"
"137",1844,"me","Palestinian conflict"
"138",1852,"me","Palestinian conflict"
"139",1872,"me","Palestinian conflict"
"140",1891,"me","Palestinian conflict"
"141",1892,"me","Palestinian conflict"
"142",1893,"me","Palestinian conflict"
"143",1894,"me","Palestinian conflict"
"144",1895,"me","Palestinian conflict"
"145",1896,"me","Palestinian conflict"
"146",1897,"me","Palestinian conflict"
"147",1902,"me","Palestinian conflict"
"148",1905,"me","Palestinian conflict"
"149",1942,"me","Palestinian conflict"
"150",1974,"me","Palestinian conflict"
"151",1975,"me","Palestinian conflict"
"152",1976,"me","Palestinian conflict"
"153",1977,"me","Palestinian conflict"
"154",1979,"me","Palestinian conflict"
"155",1994,"me","Palestinian conflict"
"156",2017,"me","Palestinian conflict"
"157",2021,"me","Palestinian conflict"
"158",2022,"me","Palestinian conflict"
"159",2023,"me","Palestinian conflict"
"160",2024,"me","Palestinian conflict"
"161",2025,"me","Palestinian conflict"
"162",2026,"me","Palestinian conflict"
"163",2027,"me","Palestinian conflict"
"164",2028,"me","Palestinian conflict"
"165",2031,"me","Palestinian conflict"
"166",2032,"me","Palestinian conflict"
"167",2033,"me","Palestinian conflict"
"168",2048,"me","Palestinian conflict"
"169",2064,"me","Palestinian conflict"
"170",2065,"me","Palestinian conflict"
"171",2066,"me","Palestinian conflict"
"172",2067,"me","Palestinian conflict"
"173",2102,"me","Palestinian conflict"
"174",2103,"me","Palestinian conflict"
"175",2104,"me","Palestinian conflict"
"176",2105,"me","Palestinian conflict"
"177",2106,"me","Palestinian conflict"
"178",2108,"me","Palestinian conflict"
"179",2114,"me","Palestinian conflict"
"180",2122,"me","Palestinian conflict"
"181",2145,"me","Palestinian conflict"
"182",2147,"me","Palestinian conflict"
"183",2148,"me","Palestinian conflict"
"184",2149,"me","Palestinian conflict"
"185",2150,"me","Palestinian conflict"
"186",2151,"me","Palestinian conflict"
"187",2152,"me","Palestinian conflict"
"188",2153,"me","Palestinian conflict"
"189",2154,"me","Palestinian conflict"
"190",2155,"me","Palestinian conflict"
"191",2156,"me","Palestinian conflict"
"192",2162,"me","Palestinian conflict"
"193",2184,"me","Palestinian conflict"
"194",2185,"me","Palestinian conflict"
"195",2201,"me","Palestinian conflict"
"196",2207,"me","Palestinian conflict"
"197",2208,"me","Palestinian conflict"
"198",2209,"me","Palestinian conflict"
"199",2210,"me","Palestinian conflict"
"200",2211,"me","Palestinian conflict"
"201",2212,"me","Palestinian conflict"
"202",2223,"me","Palestinian conflict"
"203",2230,"me","Palestinian conflict"
"204",2233,"me","Palestinian conflict"
"205",2234,"me","Palestinian conflict"
"206",2238,"me","Palestinian conflict"
"207",2260,"me","Palestinian conflict"
"208",2266,"me","Palestinian conflict"
"209",2267,"me","Palestinian conflict"
"210",2268,"me","Palestinian conflict"
"211",2269,"me","Palestinian conflict"
"212",2270,"me","Palestinian conflict"
"213",2271,"me","Palestinian conflict"
"214",2272,"me","Palestinian conflict"
"215",2273,"me","Palestinian conflict"
"216",2274,"me","Palestinian conflict"
"217",2275,"me","Palestinian conflict"
"218",2276,"me","Palestinian conflict"
"219",2277,"me","Palestinian conflict"
"220",2278,"me","Palestinian conflict"
"221",2279,"me","Palestinian conflict"
"222",2281,"me","Palestinian conflict"
"223",2282,"me","Palestinian conflict"
"224",2284,"me","Palestinian conflict"
"225",2289,"me","Palestinian conflict"
"226",2304,"me","Palestinian conflict"
"227",2308,"me","Palestinian conflict"
"228",2337,"me","Palestinian conflict"
"229",2350,"me","Palestinian conflict"
"230",2354,"me","Palestinian conflict"
"231",2355,"me","Palestinian conflict"
"232",2356,"me","Palestinian conflict"
"233",2357,"me","Palestinian conflict"
"234",2358,"me","Palestinian conflict"
"235",2359,"me","Palestinian conflict"
"236",2360,"me","Palestinian conflict"
"237",2361,"me","Palestinian conflict"
"238",2362,"me","Palestinian conflict"
"239",2363,"me","Palestinian conflict"
"240",2364,"me","Palestinian conflict"
"241",2390,"me","Palestinian conflict"
"242",2412,"me","Palestinian conflict"
"243",2413,"me","Palestinian conflict"
"244",2414,"me","Palestinian conflict"
"245",2415,"me","Palestinian conflict"
"246",2416,"me","Palestinian conflict"
"247",2417,"me","Palestinian conflict"
"248",2418,"me","Palestinian conflict"
"249",2421,"me","Palestinian conflict"
"250",2422,"me","Palestinian conflict"
"251",2423,"me","Palestinian conflict"
"252",2424,"me","Palestinian conflict"
"253",2425,"me","Palestinian conflict"
"254",2426,"me","Palestinian conflict"
"255",2427,"me","Palestinian conflict"
"256",2428,"me","Palestinian conflict"
"257",2430,"me","Palestinian conflict"
"258",2431,"me","Palestinian conflict"
"259",2432,"me","Palestinian conflict"
"260",2442,"me","Palestinian conflict"
"261",2471,"me","Palestinian conflict"
"262",2476,"me","Palestinian conflict"
"263",2493,"me","Palestinian conflict"
"264",2509,"me","Palestinian conflict"
"265",2516,"me","Palestinian conflict"
"266",2517,"me","Palestinian conflict"
"267",2518,"me","Palestinian conflict"
"268",2519,"me","Palestinian conflict"
"269",2520,"me","Palestinian conflict"
"270",2522,"me","Palestinian conflict"
"271",2523,"me","Palestinian conflict"
"272",2524,"me","Palestinian conflict"
"273",2525,"me","Palestinian conflict"
"274",2526,"me","Palestinian conflict"
"275",2533,"me","Palestinian conflict"
"276",2574,"me","Palestinian conflict"
"277",2575,"me","Palestinian conflict"
"278",2576,"me","Palestinian conflict"
"279",2577,"me","Palestinian conflict"
"280",2578,"me","Palestinian conflict"
"281",2579,"me","Palestinian conflict"
"282",2580,"me","Palestinian conflict"
"283",2581,"me","Palestinian conflict"
"284",2585,"me","Palestinian conflict"
"285",2586,"me","Palestinian conflict"
"286",2587,"me","Palestinian conflict"
"287",2588,"me","Palestinian conflict"
"288",2589,"me","Palestinian conflict"
"289",2590,"me","Palestinian conflict"
"290",2591,"me","Palestinian conflict"
"291",2592,"me","Palestinian conflict"
"292",2593,"me","Palestinian conflict"
"293",2594,"me","Palestinian conflict"
"294",2595,"me","Palestinian conflict"
"295",2596,"me","Palestinian conflict"
"296",2600,"me","Palestinian conflict"
"297",2606,"me","Palestinian conflict"
"298",2622,"me","Palestinian conflict"
"299",2646,"me","Palestinian conflict"
"300",2648,"me","Palestinian conflict"
"301",2649,"me","Palestinian conflict"
"302",2650,"me","Palestinian conflict"
"303",2651,"me","Palestinian conflict"
"304",2659,"me","Palestinian conflict"
"305",2667,"me","Palestinian conflict"
"306",2668,"me","Palestinian conflict"
"307",2692,"me","Palestinian conflict"
"308",2719,"me","Palestinian conflict"
"309",2720,"me","Palestinian conflict"
"310",2721,"me","Palestinian conflict"
"311",2722,"me","Palestinian conflict"
"312",2723,"me","Palestinian conflict"
"313",2724,"me","Palestinian conflict"
"314",2725,"me","Palestinian conflict"
"315",2726,"me","Palestinian conflict"
"316",2729,"me","Palestinian conflict"
"317",2730,"me","Palestinian conflict"
"318",2731,"me","Palestinian conflict"
"319",2732,"me","Palestinian conflict"
"320",2733,"me","Palestinian conflict"
"321",2734,"me","Palestinian conflict"
"322",2735,"me","Palestinian conflict"
"323",2736,"me","Palestinian conflict"
"324",2737,"me","Palestinian conflict"
"325",2738,"me","Palestinian conflict"
"326",2741,"me","Palestinian conflict"
"327",2747,"me","Palestinian conflict"
"328",2748,"me","Palestinian conflict"
"329",2771,"me","Palestinian conflict"
"330",2772,"me","Palestinian conflict"
"331",2788,"me","Palestinian conflict"
"332",2792,"me","Palestinian conflict"
"333",2818,"me","Palestinian conflict"
"334",2840,"me","Palestinian conflict"
"335",2850,"me","Palestinian conflict"
"336",2851,"me","Palestinian conflict"
"337",2852,"me","Palestinian conflict"
"338",2853,"me","Palestinian conflict"
"339",2896,"me","Palestinian conflict"
"340",2897,"me","Palestinian conflict"
"341",2898,"me","Palestinian conflict"
"342",2899,"me","Palestinian conflict"
"343",2900,"me","Palestinian conflict"
"344",2901,"me","Palestinian conflict"
"345",2902,"me","Palestinian conflict"
"346",2905,"me","Palestinian conflict"
"347",2906,"me","Palestinian conflict"
"348",2907,"me","Palestinian conflict"
"349",2908,"me","Palestinian conflict"
"350",2909,"me","Palestinian conflict"
"351",2910,"me","Palestinian conflict"
"352",2911,"me","Palestinian conflict"
"353",2912,"me","Palestinian conflict"
"354",2913,"me","Palestinian conflict"
"355",2914,"me","Palestinian conflict"
"356",2916,"me","Palestinian conflict"
"357",2917,"me","Palestinian conflict"
"358",2918,"me","Palestinian conflict"
"359",2919,"me","Palestinian conflict"
"360",2928,"me","Palestinian conflict"
"361",2933,"me","Palestinian conflict"
"362",2934,"me","Palestinian conflict"
"363",2951,"me","Palestinian conflict"
"364",2962,"me","Palestinian conflict"
"365",2977,"me","Palestinian conflict"
"366",2978,"me","Palestinian conflict"
"367",2979,"me","Palestinian conflict"
"368",2980,"me","Palestinian conflict"
"369",3014,"me","Palestinian conflict"
"370",3015,"me","Palestinian conflict"
"371",3016,"me","Palestinian conflict"
"372",3017,"me","Palestinian conflict"
"373",3018,"me","Palestinian conflict"
"374",3019,"me","Palestinian conflict"
"375",3020,"me","Palestinian conflict"
"376",3024,"me","Palestinian conflict"
"377",3025,"me","Palestinian conflict"
"378",3026,"me","Palestinian conflict"
"379",3027,"me","Palestinian conflict"
"380",3028,"me","Palestinian conflict"
"381",3029,"me","Palestinian conflict"
"382",3030,"me","Palestinian conflict"
"383",3031,"me","Palestinian conflict"
"384",3032,"me","Palestinian conflict"
"385",3055,"me","Palestinian conflict"
"386",3078,"me","Palestinian conflict"
"387",3079,"me","Palestinian conflict"
"388",3080,"me","Palestinian conflict"
"389",3083,"me","Palestinian conflict"
"390",3084,"me","Palestinian conflict"
"391",3086,"me","Palestinian conflict"
"392",3119,"me","Palestinian conflict"
"393",3159,"me","Palestinian conflict"
"394",3165,"me","Palestinian conflict"
"395",3166,"me","Palestinian conflict"
"396",3167,"me","Palestinian conflict"
"397",3168,"me","Palestinian conflict"
"398",3169,"me","Palestinian conflict"
"399",3170,"me","Palestinian conflict"
"400",3171,"me","Palestinian conflict"
"401",3172,"me","Palestinian conflict"
"402",3173,"me","Palestinian conflict"
"403",3174,"me","Palestinian conflict"
"404",3175,"me","Palestinian conflict"
"405",3176,"me","Palestinian conflict"
"406",3177,"me","Palestinian conflict"
"407",3212,"me","Palestinian conflict"
"408",3213,"me","Palestinian conflict"
"409",3214,"me","Palestinian conflict"
"410",3215,"me","Palestinian conflict"
"411",3216,"me","Palestinian conflict"
"412",3217,"me","Palestinian conflict"
"413",3218,"me","Palestinian conflict"
"414",3222,"me","Palestinian conflict"
"415",3227,"me","Palestinian conflict"
"416",3229,"me","Palestinian conflict"
"417",3236,"me","Palestinian conflict"
"418",3237,"me","Palestinian conflict"
"419",3238,"me","Palestinian conflict"
"420",3239,"me","Palestinian conflict"
"421",3241,"me","Palestinian conflict"
"422",3255,"me","Palestinian conflict"
"423",3277,"me","Palestinian conflict"
"424",3282,"me","Palestinian conflict"
"425",3283,"me","Palestinian conflict"
"426",3284,"me","Palestinian conflict"
"427",3285,"me","Palestinian conflict"
"428",3286,"me","Palestinian conflict"
"429",3287,"me","Palestinian conflict"
"430",3288,"me","Palestinian conflict"
"431",3289,"me","Palestinian conflict"
"432",3290,"me","Palestinian conflict"
"433",3291,"me","Palestinian conflict"
"434",3292,"me","Palestinian conflict"
"435",3293,"me","Palestinian conflict"
"436",3294,"me","Palestinian conflict"
"437",3295,"me","Palestinian conflict"
"438",3296,"me","Palestinian conflict"
"439",3297,"me","Palestinian conflict"
"440",3298,"me","Palestinian conflict"
"441",3299,"me","Palestinian conflict"
"442",3339,"me","Palestinian conflict"
"443",3361,"me","Palestinian conflict"
"444",3368,"me","Palestinian conflict"
"445",3369,"me","Palestinian conflict"
"446",3370,"me","Palestinian conflict"
"447",3371,"me","Palestinian conflict"
"448",3372,"me","Palestinian conflict"
"449",3373,"me","Palestinian conflict"
"450",3383,"me","Palestinian conflict"
"451",3384,"me","Palestinian conflict"
"452",3386,"me","Palestinian conflict"
"453",3398,"me","Palestinian conflict"
"454",3401,"me","Palestinian conflict"
"455",3407,"me","Palestinian conflict"
"456",3408,"me","Palestinian conflict"
"457",3409,"me","Palestinian conflict"
"458",3410,"me","Palestinian conflict"
"459",3411,"me","Palestinian conflict"
"460",3412,"me","Palestinian conflict"
"461",3413,"me","Palestinian conflict"
"462",3415,"me","Palestinian conflict"
"463",3416,"me","Palestinian conflict"
"464",3417,"me","Palestinian conflict"
"465",3418,"me","Palestinian conflict"
"466",3419,"me","Palestinian conflict"
"467",3420,"me","Palestinian conflict"
"468",3421,"me","Palestinian conflict"
"469",3422,"me","Palestinian conflict"
"470",3423,"me","Palestinian conflict"
"471",3424,"me","Palestinian conflict"
"472",3425,"me","Palestinian conflict"
"473",3426,"me","Palestinian conflict"
"474",3427,"me","Palestinian conflict"
"475",3428,"me","Palestinian conflict"
"476",3429,"me","Palestinian conflict"
"477",3430,"me","Palestinian conflict"
"478",3479,"me","Palestinian conflict"
"479",3491,"me","Palestinian conflict"
"480",3499,"me","Palestinian conflict"
"481",3538,"me","Palestinian conflict"
"482",3539,"me","Palestinian conflict"
"483",3540,"me","Palestinian conflict"
"484",3541,"me","Palestinian conflict"
"485",3542,"me","Palestinian conflict"
"486",3543,"me","Palestinian conflict"
"487",3544,"me","Palestinian conflict"
"488",3545,"me","Palestinian conflict"
"489",3546,"me","Palestinian conflict"
"490",3547,"me","Palestinian conflict"
"491",3548,"me","Palestinian conflict"
"492",3549,"me","Palestinian conflict"
"493",3550,"me","Palestinian conflict"
"494",3551,"me","Palestinian conflict"
"495",3552,"me","Palestinian conflict"
"496",3553,"me","Palestinian conflict"
"497",3554,"me","Palestinian conflict"
"498",3555,"me","Palestinian conflict"
"499",3556,"me","Palestinian conflict"
"500",3557,"me","Palestinian conflict"
"501",3558,"me","Palestinian conflict"
"502",3559,"me","Palestinian conflict"
"503",3565,"me","Palestinian conflict"
"504",3566,"me","Palestinian conflict"
"505",3567,"me","Palestinian conflict"
"506",3581,"me","Palestinian conflict"
"507",3585,"me","Palestinian conflict"
"508",3608,"me","Palestinian conflict"
"509",3611,"me","Palestinian conflict"
"510",3612,"me","Palestinian conflict"
"511",3613,"me","Palestinian conflict"
"512",3614,"me","Palestinian conflict"
"513",3615,"me","Palestinian conflict"
"514",3616,"me","Palestinian conflict"
"515",3617,"me","Palestinian conflict"
"516",3618,"me","Palestinian conflict"
"517",3619,"me","Palestinian conflict"
"518",3620,"me","Palestinian conflict"
"519",3621,"me","Palestinian conflict"
"520",3622,"me","Palestinian conflict"
"521",3623,"me","Palestinian conflict"
"522",3624,"me","Palestinian conflict"
"523",3625,"me","Palestinian conflict"
"524",3626,"me","Palestinian conflict"
"525",3634,"me","Palestinian conflict"
"526",3635,"me","Palestinian conflict"
"527",3636,"me","Palestinian conflict"
"528",3637,"me","Palestinian conflict"
"529",3638,"me","Palestinian conflict"
"530",3642,"me","Palestinian conflict"
"531",3644,"me","Palestinian conflict"
"532",3645,"me","Palestinian conflict"
"533",3657,"me","Palestinian conflict"
"534",3658,"me","Palestinian conflict"
"535",3659,"me","Palestinian conflict"
"536",3687,"me","Palestinian conflict"
"537",3692,"me","Palestinian conflict"
"538",3693,"me","Palestinian conflict"
"539",3694,"me","Palestinian conflict"
"540",3695,"me","Palestinian conflict"
"541",3696,"me","Palestinian conflict"
"542",3698,"me","Palestinian conflict"
"543",3700,"me","Palestinian conflict"
"544",3701,"me","Palestinian conflict"
"545",3702,"me","Palestinian conflict"
"546",3703,"me","Palestinian conflict"
"547",3704,"me","Palestinian conflict"
"548",3705,"me","Palestinian conflict"
"549",3706,"me","Palestinian conflict"
"550",3707,"me","Palestinian conflict"
"551",3708,"me","Palestinian conflict"
"552",3709,"me","Palestinian conflict"
"553",3710,"me","Palestinian conflict"
"554",3711,"me","Palestinian conflict"
"555",3712,"me","Palestinian conflict"
"556",3713,"me","Palestinian conflict"
"557",3714,"me","Palestinian conflict"
"558",3715,"me","Palestinian conflict"
"559",3723,"me","Palestinian conflict"
"560",3734,"me","Palestinian conflict"
"561",3735,"me","Palestinian conflict"
"562",3744,"me","Palestinian conflict"
"563",3745,"me","Palestinian conflict"
"564",3746,"me","Palestinian conflict"
"565",3747,"me","Palestinian conflict"
"566",3748,"me","Palestinian conflict"
"567",3749,"me","Palestinian conflict"
"568",3750,"me","Palestinian conflict"
"569",3751,"me","Palestinian conflict"
"570",3752,"me","Palestinian conflict"
"571",3753,"me","Palestinian conflict"
"572",3754,"me","Palestinian conflict"
"573",3755,"me","Palestinian conflict"
"574",3762,"me","Palestinian conflict"
"575",3763,"me","Palestinian conflict"
"576",3764,"me","Palestinian conflict"
"577",3778,"me","Palestinian conflict"
"578",3796,"me","Palestinian conflict"
"579",3797,"me","Palestinian conflict"
"580",3798,"me","Palestinian conflict"
"581",3799,"me","Palestinian conflict"
"582",3802,"me","Palestinian conflict"
"583",3810,"me","Palestinian conflict"
"584",3811,"me","Palestinian conflict"
"585",3812,"me","Palestinian conflict"
"586",3813,"me","Palestinian conflict"
"587",3814,"me","Palestinian conflict"
"588",3815,"me","Palestinian conflict"
"589",3816,"me","Palestinian conflict"
"590",3817,"me","Palestinian conflict"
"591",3818,"me","Palestinian conflict"
"592",3819,"me","Palestinian conflict"
"593",3826,"me","Palestinian conflict"
"594",3827,"me","Palestinian conflict"
"595",3828,"me","Palestinian conflict"
"596",3829,"me","Palestinian conflict"
"597",3849,"me","Palestinian conflict"
"598",3852,"me","Palestinian conflict"
"599",3853,"me","Palestinian conflict"
"600",3857,"me","Palestinian conflict"
"601",3858,"me","Palestinian conflict"
"602",3880,"me","Palestinian conflict"
"603",3881,"me","Palestinian conflict"
"604",3882,"me","Palestinian conflict"
"605",3884,"me","Palestinian conflict"
"606",3885,"me","Palestinian conflict"
"607",3886,"me","Palestinian conflict"
"608",3887,"me","Palestinian conflict"
"609",3888,"me","Palestinian conflict"
"610",3889,"me","Palestinian conflict"
"611",3890,"me","Palestinian conflict"
"612",3891,"me","Palestinian conflict"
"613",3892,"me","Palestinian conflict"
"614",3893,"me","Palestinian conflict"
"615",3941,"me","Palestinian conflict"
"616",3943,"me","Palestinian conflict"
"617",3944,"me","Palestinian conflict"
"618",3945,"me","Palestinian conflict"
"619",3946,"me","Palestinian conflict"
"620",3949,"me","Palestinian conflict"
"621",3951,"me","Palestinian conflict"
"622",3967,"me","Palestinian conflict"
"623",3968,"me","Palestinian conflict"
"624",3969,"me","Palestinian conflict"
"625",3970,"me","Palestinian conflict"
"626",3971,"me","Palestinian conflict"
"627",3972,"me","Palestinian conflict"
"628",3997,"me","Palestinian conflict"
"629",4001,"me","Palestinian conflict"
"630",4013,"me","Palestinian conflict"
"631",4014,"me","Palestinian conflict"
"632",4015,"me","Palestinian conflict"
"633",4016,"me","Palestinian conflict"
"634",4017,"me","Palestinian conflict"
"635",4018,"me","Palestinian conflict"
"636",4019,"me","Palestinian conflict"
"637",4020,"me","Palestinian conflict"
"638",4021,"me","Palestinian conflict"
"639",4022,"me","Palestinian conflict"
"640",4023,"me","Palestinian conflict"
"641",4031,"me","Palestinian conflict"
"642",4036,"me","Palestinian conflict"
"643",4038,"me","Palestinian conflict"
"644",4063,"me","Palestinian conflict"
"645",4065,"me","Palestinian conflict"
"646",4066,"me","Palestinian conflict"
"647",4067,"me","Palestinian conflict"
"648",4068,"me","Palestinian conflict"
"649",4069,"me","Palestinian conflict"
"650",4070,"me","Palestinian conflict"
"651",4071,"me","Palestinian conflict"
"652",4072,"me","Palestinian conflict"
"653",4073,"me","Palestinian conflict"
"654",4074,"me","Palestinian conflict"
"655",4075,"me","Palestinian conflict"
"656",4076,"me","Palestinian conflict"
"657",4077,"me","Palestinian conflict"
"658",4078,"me","Palestinian conflict"
"659",4079,"me","Palestinian conflict"
"660",4080,"me","Palestinian conflict"
"661",4081,"me","Palestinian conflict"
"662",4088,"me","Palestinian conflict"
"663",4105,"me","Palestinian conflict"
"664",4106,"me","Palestinian conflict"
"665",4107,"me","Palestinian conflict"
"666",4113,"me","Palestinian conflict"
"667",4114,"me","Palestinian conflict"
"668",4115,"me","Palestinian conflict"
"669",4116,"me","Palestinian conflict"
"670",4117,"me","Palestinian conflict"
"671",4118,"me","Palestinian conflict"
"672",4119,"me","Palestinian conflict"
"673",4120,"me","Palestinian conflict"
"674",4121,"me","Palestinian conflict"
"675",4122,"me","Palestinian conflict"
"676",4123,"me","Palestinian conflict"
"677",4124,"me","Palestinian conflict"
"678",4125,"me","Palestinian conflict"
"679",4126,"me","Palestinian conflict"
"680",4127,"me","Palestinian conflict"
"681",4128,"me","Palestinian conflict"
"682",4129,"me","Palestinian conflict"
"683",4156,"me","Palestinian conflict"
"684",4159,"me","Palestinian conflict"
"685",4167,"me","Palestinian conflict"
"686",4168,"me","Palestinian conflict"
"687",4172,"me","Palestinian conflict"
"688",4173,"me","Palestinian conflict"
"689",4174,"me","Palestinian conflict"
"690",4175,"me","Palestinian conflict"
"691",4176,"me","Palestinian conflict"
"692",4177,"me","Palestinian conflict"
"693",4197,"me","Palestinian conflict"
"694",4201,"me","Palestinian conflict"
"695",4202,"me","Palestinian conflict"
"696",4203,"me","Palestinian conflict"
"697",4204,"me","Palestinian conflict"
"698",4205,"me","Palestinian conflict"
"699",4206,"me","Palestinian conflict"
"700",4207,"me","Palestinian conflict"
"701",4208,"me","Palestinian conflict"
"702",4209,"me","Palestinian conflict"
"703",4210,"me","Palestinian conflict"
"704",4211,"me","Palestinian conflict"
"705",4220,"me","Palestinian conflict"
"706",4236,"me","Palestinian conflict"
"707",4237,"me","Palestinian conflict"
"708",4260,"me","Palestinian conflict"
"709",4263,"me","Palestinian conflict"
"710",4264,"me","Palestinian conflict"
"711",4265,"me","Palestinian conflict"
"712",4266,"me","Palestinian conflict"
"713",4267,"me","Palestinian conflict"
"714",4268,"me","Palestinian conflict"
"715",4271,"me","Palestinian conflict"
"716",4283,"me","Palestinian conflict"
"717",4284,"me","Palestinian conflict"
"718",4285,"me","Palestinian conflict"
"719",4286,"me","Palestinian conflict"
"720",4287,"me","Palestinian conflict"
"721",4288,"me","Palestinian conflict"
"722",4289,"me","Palestinian conflict"
"723",4290,"me","Palestinian conflict"
"724",4291,"me","Palestinian conflict"
"725",4292,"me","Palestinian conflict"
"726",4293,"me","Palestinian conflict"
"727",4302,"me","Palestinian conflict"
"728",4303,"me","Palestinian conflict"
"729",4304,"me","Palestinian conflict"
"730",4325,"me","Palestinian conflict"
"731",4326,"me","Palestinian conflict"
"732",4327,"me","Palestinian conflict"
"733",4328,"me","Palestinian conflict"
"734",4329,"me","Palestinian conflict"
"735",4330,"me","Palestinian conflict"
"736",4331,"me","Palestinian conflict"
"737",4333,"me","Palestinian conflict"
